pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
226.5036,-104.5956,90.0,top,J1,,,PinHeader_1x05_P2.54mm_Vertical,KB1,tht
244.2836,-104.5956,90.0,top,J2,,,PinHeader_1x08_P2.54mm_Vertical,KB2,tht
343.3436,-104.5956,90.0,top,J3,,,PinHeader_1x03_P2.54mm_Vertical,SPACE_ZERO,tht
333.1836,-104.5956,0.0,top,J4,,,PinHeader_2x02_P2.54mm_Vertical,ZX_ACE,tht
102.9186,-115.0356,0.0,top,SW1,,,SW_Cherry_MX_1.00u_PCB,1,tht
274.3686,-115.0356,0.0,top,SW10,,,SW_Cherry_MX_1.00u_PCB,0,tht
112.6686,-134.0856,0.0,top,SW11,,,SW_Cherry_MX_1.00u_PCB,Q,tht
131.7186,-134.0856,0.0,top,SW12,,,SW_Cherry_MX_1.00u_PCB,W,tht
150.7686,-134.0856,0.0,top,SW13,,,SW_Cherry_MX_1.00u_PCB,E,tht
169.8186,-134.0856,0.0,top,SW14,,,SW_Cherry_MX_1.00u_PCB,R,tht
188.8686,-134.0113,0.0,top,SW15,,,SW_Cherry_MX_1.00u_PCB,T,tht
207.9186,-134.0856,0.0,top,SW16,,,SW_Cherry_MX_1.00u_PCB,Y,tht
226.9686,-134.0856,0.0,top,SW17,,,SW_Cherry_MX_1.00u_PCB,U,tht
246.0186,-134.0856,0.0,top,SW18,,,SW_Cherry_MX_1.00u_PCB,I,tht
265.0686,-134.0856,0.0,top,SW19,,,SW_Cherry_MX_1.00u_PCB,O,tht
121.9686,-115.0356,0.0,top,SW2,,,SW_Cherry_MX_1.00u_PCB,2,tht
284.1186,-134.0856,0.0,top,SW20,,,SW_Cherry_MX_1.00u_PCB,P,tht
117.0936,-153.1356,0.0,top,SW21,,,SW_Cherry_MX_1.00u_PCB,A,tht
136.1436,-153.1356,0.0,top,SW22,,,SW_Cherry_MX_1.00u_PCB,S,tht
155.1936,-153.1356,0.0,top,SW23,,,SW_Cherry_MX_1.00u_PCB,D,tht
174.2436,-153.1356,0.0,top,SW24,,,SW_Cherry_MX_1.00u_PCB,F,tht
193.2936,-153.1356,0.0,top,SW25,,,SW_Cherry_MX_1.00u_PCB,G,tht
212.3436,-153.019,0.0,top,SW26,,,SW_Cherry_MX_1.00u_PCB,H,tht
231.3936,-153.1356,0.0,top,SW27,,,SW_Cherry_MX_1.00u_PCB,J,tht
250.4436,-153.1356,0.0,top,SW28,,,SW_Cherry_MX_1.00u_PCB,K,tht
269.4936,-153.1356,0.0,top,SW29,,,SW_Cherry_MX_1.00u_PCB,L,tht
141.0186,-115.0356,0.0,top,SW3,,,SW_Cherry_MX_1.00u_PCB,3,tht
288.5872,-153.1356,0.0,top,SW30,,,SW_Cherry_MX_1.00u_PCB,NL,tht
102.9186,-172.1856,0.0,top,SW31,,,SW_Cherry_MX_1.00u_PCB,SHIFT,tht
121.9686,-172.1856,0.0,top,SW32,,,SW_Cherry_MX_1.00u_PCB,Z,tht
141.0186,-172.1856,0.0,top,SW33,,,SW_Cherry_MX_1.00u_PCB,X,tht
160.0686,-172.1856,0.0,top,SW34,,,SW_Cherry_MX_1.00u_PCB,C,tht
179.1186,-172.1856,0.0,top,SW35,,,SW_Cherry_MX_1.00u_PCB,V,tht
198.1814,-172.1856,0.0,top,SW36,,,SW_Cherry_MX_1.00u_PCB,B,tht
217.2186,-172.1856,0.0,top,SW37,,,SW_Cherry_MX_1.00u_PCB,N,tht
236.2686,-172.1856,0.0,top,SW38,,,SW_Cherry_MX_1.00u_PCB,M,tht
255.3186,-172.1856,0.0,top,SW39,,,SW_Cherry_MX_1.00u_PCB,DOT,tht
160.0686,-115.0356,0.0,top,SW4,,,SW_Cherry_MX_1.00u_PCB,4,tht
274.3686,-172.1856,0.0,top,SW40,,,SW_Cherry_MX_1.00u_PCB,SPACE,tht
293.4186,-172.1856,0.0,top,SW41,,,SW_Cherry_MX_1.00u_PCB,LEFT,tht
312.4686,-172.1856,0.0,top,SW42,,,SW_Cherry_MX_1.00u_PCB,DOWN,tht
312.4686,-153.1356,0.0,top,SW43,,,SW_Cherry_MX_1.00u_PCB,UP,tht
331.5186,-172.1856,0.0,top,SW44,,,SW_Cherry_MX_1.00u_PCB,RIGHT,tht
179.1186,-115.0356,0.0,top,SW5,,,SW_Cherry_MX_1.00u_PCB,5,tht
198.1686,-115.0356,0.0,top,SW6,,,SW_Cherry_MX_1.00u_PCB,6,tht
217.2186,-115.0356,0.0,top,SW7,,,SW_Cherry_MX_1.00u_PCB,7,tht
236.3738,-115.0356,0.0,top,SW8,,,SW_Cherry_MX_1.00u_PCB,8,tht
255.3186,-115.0356,0.0,top,SW9,,,SW_Cherry_MX_1.00u_PCB,9,tht
