pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
70.66,-198.6156,0.0,top,H1,,,MountingHole_3.2mm_M3,MountingHole,tht
270.66,-198.6156,0.0,top,H2,,,MountingHole_3.2mm_M3,MountingHole,tht
70.66,-117.6156,0.0,top,H3,,,MountingHole_3.2mm_M3,MountingHole,tht
270.66,-117.6156,0.0,top,H4,,,MountingHole_3.2mm_M3,MountingHole,tht
225.04,-117.1156,90.0,top,J1,,,PinHeader_1x05_P2.54mm_Vertical,KB1,tht
272.2025,-161.1156,90.0,top,J2,,,DSUB-9_Pins_EdgeMount_P2.77mm,ZX81 Joypad,smt
243.0535,-117.1156,90.0,top,J3,,,PinHeader_1x08_P2.54mm_Vertical,KB2,tht
83.66,-133.0156,0.0,top,SW1,,,SW_Gateron_LowProfile_THT,1,tht
121.76,-152.0656,0.0,top,SW10,,,SW_Gateron_LowProfile_THT,E,tht
121.76,-171.1156,0.0,top,SW11,,,SW_Gateron_LowProfile_THT,D,tht
121.76,-190.1656,0.0,top,SW12,,,SW_Gateron_LowProfile_THT,X,tht
140.81,-133.0156,0.0,top,SW13,,,SW_Gateron_LowProfile_THT,4,tht
140.81,-152.0656,0.0,top,SW14,,,SW_Gateron_LowProfile_THT,R,tht
140.81,-171.1156,0.0,top,SW15,,,SW_Gateron_LowProfile_THT,F,tht
140.81,-190.1656,0.0,top,SW16,,,SW_Gateron_LowProfile_THT,C,tht
159.86,-133.0156,0.0,top,SW17,,,SW_Gateron_LowProfile_THT,5,tht
159.86,-152.0656,0.0,top,SW18,,,SW_Gateron_LowProfile_THT,T,tht
159.86,-171.1156,0.0,top,SW19,,,SW_Gateron_LowProfile_THT,G,tht
83.66,-152.0656,0.0,top,SW2,,,SW_Gateron_LowProfile_THT,Q,tht
159.86,-190.1656,0.0,top,SW20,,,SW_Gateron_LowProfile_THT,V,tht
178.91,-133.0156,0.0,top,SW21,,,SW_Gateron_LowProfile_THT,6,tht
178.91,-152.0656,0.0,top,SW22,,,SW_Gateron_LowProfile_THT,Y,tht
178.91,-171.1156,0.0,top,SW23,,,SW_Gateron_LowProfile_THT,H,tht
178.91,-190.1656,0.0,top,SW24,,,SW_Gateron_LowProfile_THT,B,tht
197.96,-133.0156,0.0,top,SW25,,,SW_Gateron_LowProfile_THT,7,tht
197.96,-152.0656,0.0,top,SW26,,,SW_Gateron_LowProfile_THT,U,tht
197.96,-171.1156,0.0,top,SW27,,,SW_Gateron_LowProfile_THT,J,tht
197.96,-190.1656,0.0,top,SW28,,,SW_Gateron_LowProfile_THT,N,tht
217.01,-133.0156,0.0,top,SW29,,,SW_Gateron_LowProfile_THT,8,tht
83.66,-171.1156,0.0,top,SW3,,,SW_Gateron_LowProfile_THT,A,tht
217.01,-152.0656,0.0,top,SW30,,,SW_Gateron_LowProfile_THT,I,tht
217.01,-171.1156,0.0,top,SW31,,,SW_Gateron_LowProfile_THT,K,tht
217.01,-190.1656,0.0,top,SW32,,,SW_Gateron_LowProfile_THT,M,tht
236.06,-133.0156,0.0,top,SW33,,,SW_Gateron_LowProfile_THT,9,tht
236.06,-152.0656,0.0,top,SW34,,,SW_Gateron_LowProfile_THT,O,tht
236.06,-171.1156,0.0,top,SW35,,,SW_Gateron_LowProfile_THT,L,tht
236.06,-190.1656,0.0,top,SW36,,,SW_Gateron_LowProfile_THT,DOT,tht
255.11,-133.0156,0.0,top,SW37,,,SW_Gateron_LowProfile_THT,0,tht
255.11,-152.0656,0.0,top,SW38,,,SW_Gateron_LowProfile_THT,P,tht
255.11,-171.1156,0.0,top,SW39,,,SW_Gateron_LowProfile_THT,NL,tht
83.66,-190.1656,0.0,top,SW4,,,SW_Gateron_LowProfile_THT,SHIFT,tht
255.11,-190.1656,0.0,top,SW40,,,SW_Gateron_LowProfile_THT,SPACE,tht
102.71,-133.0156,0.0,top,SW5,,,SW_Gateron_LowProfile_THT,2,tht
102.71,-152.0656,0.0,top,SW6,,,SW_Gateron_LowProfile_THT,W,tht
102.71,-171.1156,0.0,top,SW7,,,SW_Gateron_LowProfile_THT,S,tht
102.71,-190.1656,0.0,top,SW8,,,SW_Gateron_LowProfile_THT,Z,tht
121.76,-133.0156,0.0,top,SW9,,,SW_Gateron_LowProfile_THT,3,tht
