pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
204.647355,-53.817974,90.0,top,J1,,,PinHeader_1x08_P2.54mm_Vertical,KB2,tht
74.647355,-53.817974,90.0,top,J2,,,PinHeader_1x05_P2.54mm_Vertical,KB1,tht
185.259266,-69.707747,0.0,top,KA10,,,SW_Gateron_LowProfile_THT,8,tht
204.309266,-69.707747,0.0,top,KA11,,,SW_Gateron_LowProfile_THT,9,tht
223.359266,-69.707747,0.0,top,KA12,,,SW_Gateron_LowProfile_THT,ZERO,tht
51.909266,-69.707747,0.0,top,KA3,,,SW_Gateron_LowProfile_THT,1,tht
70.959266,-69.707747,0.0,top,KA4,,,SW_Gateron_LowProfile_THT,2,tht
90.009266,-69.707747,0.0,top,KA5,,,SW_Gateron_LowProfile_THT,3,tht
109.059266,-69.707747,0.0,top,KA6,,,SW_Gateron_LowProfile_THT,4,tht
128.109266,-69.707747,0.0,top,KA7,,,SW_Gateron_LowProfile_THT,5,tht
147.159266,-69.707747,0.0,top,KA8,,,SW_Gateron_LowProfile_THT,6,tht
166.209266,-69.707747,0.0,top,KA9,,,SW_Gateron_LowProfile_THT,7,tht
194.784266,-88.757747,0.0,top,KB10,,,SW_Gateron_LowProfile_THT,I,tht
213.834266,-88.757747,0.0,top,KB11,,,SW_Gateron_LowProfile_THT,O,tht
232.884266,-88.757747,0.0,top,KB12,,,SW_Gateron_LowProfile_THT,P,tht
237.650666,-107.808547,0.0,top,KB13,,,SW_Gateron_LowProfile_THT,ENTER,tht
61.434266,-88.757747,0.0,top,KB3,,,SW_Gateron_LowProfile_THT,Q,tht
80.484266,-88.757747,0.0,top,KB4,,,SW_Gateron_LowProfile_THT,W,tht
99.534266,-88.757747,0.0,top,KB5,,,SW_Gateron_LowProfile_THT,E,tht
118.584266,-88.757747,0.0,top,KB6,,,SW_Gateron_LowProfile_THT,R,tht
137.634266,-88.757747,0.0,top,KB7,,,SW_Gateron_LowProfile_THT,T,tht
156.684266,-88.757747,0.0,top,KB8,,,SW_Gateron_LowProfile_THT,Y,tht
175.734266,-88.757747,0.0,top,KB9,,,SW_Gateron_LowProfile_THT,U,tht
199.548666,-107.808547,0.0,top,KC10,,,SW_Gateron_LowProfile_THT,K,tht
218.600266,-107.808547,0.0,top,KC11,,,SW_Gateron_LowProfile_THT,L,tht
66.197066,-107.808547,0.0,top,KC3,,,SW_Gateron_LowProfile_THT,A,tht
85.247066,-107.808547,0.0,top,KC4,,,SW_Gateron_LowProfile_THT,S,tht
104.297066,-107.808547,0.0,top,KC5,,,SW_Gateron_LowProfile_THT,D,tht
123.348266,-107.808547,0.0,top,KC6,,,SW_Gateron_LowProfile_THT,F,tht
142.398666,-107.808547,0.0,top,KC7,,,SW_Gateron_LowProfile_THT,G,tht
161.448666,-107.808547,0.0,top,KC8,,,SW_Gateron_LowProfile_THT,H,tht
180.498666,-107.808547,0.0,top,KC9,,,SW_Gateron_LowProfile_THT,J,tht
54.290566,-126.858947,0.0,top,KD1,,,SW_Gateron_LowProfile_THT,CAPS SHIFT,tht
75.647355,-126.817974,0.0,top,KD3,,,SW_Gateron_LowProfile_THT,Z,tht
94.697355,-126.817974,0.0,top,KD4,,,SW_Gateron_LowProfile_THT,X,tht
113.747355,-126.817974,0.0,top,KD5,,,SW_Gateron_LowProfile_THT,C,tht
132.797355,-126.817974,0.0,top,KD6,,,SW_Gateron_LowProfile_THT,V,tht
151.847355,-126.817974,0.0,top,KD7,,,SW_Gateron_LowProfile_THT,B,tht
170.897355,-126.817974,0.0,top,KD8,,,SW_Gateron_LowProfile_THT,N,tht
189.947355,-126.857746,0.0,top,KD9,,,SW_Gateron_LowProfile_THT,M,tht
208.997355,-126.817974,0.0,top,KE1,,,SW_Gateron_LowProfile_THT,SYMBOL SHIFT,tht
232.888066,-126.858947,0.0,top,KE6,,,SW_Gateron_LowProfile_THT,SPACE,tht
